DATE,AKNGSP,ALNGSP,ARNGSP,AZNGSP,CANGSP,CONGSP,CTNGSP,DCNGSP,DENGSP,FLNGSP,GANGSP,HINGSP,IANGSP,IDNGSP,ILNGSP,INNGSP,KSNGSP,KYNGSP,LANGSP,MANGSP,MDNGSP,MENGSP,MINGSP,MNNGSP,MONGSP,MSNGSP,MTNGSP,NCNGSP,NDNGSP,NENGSP,NHNGSP,NJNGSP,NMNGSP,NVNGSP,NYNGSP,OHNGSP,OKNGSP,ORNGSP,PANGSP,RINGSP,SCNGSP,SDNGSP,TNNGSP,TXNGSP,UTNGSP,VANGSP,VTNGSP,WANGSP,WINGSP,WVNGSP,WYNGSP
2017-01-01,53550.9,216615.5,123882.6,333099.0,2740550.3,350209.1,273875.1,134298.8,69555.6,1014866.9,583543.3,87436.4,187125.0,72935.1,832826.8,357535.8,166273.6,203564.0,239830.7,530129.4,399714.5,63000.6,505101.5,354721.9,311273.8,110281.4,48470.5,546810.1,56530.2,123219.9,81179.6,590086.7,93210.1,163199.1,1624800.7,652187.5,192538.6,225534.5,754318.0,58771.6,224937.6,51615.1,355417.5,1667313,172075,515167.2,32589.2,527169.4,321886.8,75172.4,37620.3
2018-01-01,54762.0,226263.8,129213.8,353671.0,2899530.9,373923.1,280535.4,141240.2,73376.0,1072085.6,612803.4,90933.5,193155.1,79072.4,871024.2,377376.9,173373.0,210509.1,256444.4,559605.0,410771.8,66216.0,525240.8,372439.2,320451.6,113166.4,51152.1,568037.3,60377.1,127954.4,83859.4,619340.2,98838.2,172547.9,1710665.6,672540.1,204193.9,238466.9,780620.7,60064.9,236561.7,53349.5,369713.2,1808026.9,186805.7,537158.3,33482.6,570337.8,335144.3,79794.3,39614.5
2019-01-01,54549.6,234798.2,132625.8,375376.7,3068629.7,397843.6,286451.9,145071.4,78710.5,1133718.0,646695.8,93240.2,196262.5,84429.4,895601.8,384838.7,176068.8,220678.8,257499.0,588069.5,419391.6,69708.7,540237.3,384850.2,334750.2,116135.7,52715.6,592449.6,60892.5,132848.2,87868.2,643317.7,103821.0,184611.1,1787470.9,702914.8,205992.7,248781.8,802233.1,62814.7,249575.7,55175.8,385833,1864872.3,201312.2,561701.8,34760.3,608643.4,346906.6,80242.4,40029.5
2020-01-01,51283.4,235325.3,136198.4,388956.7,3076755.1,396741.9,278029.4,146660.1,77520.3,1142004.4,640223.6,84885.8,198609.6,88099.3,860672.8,378633.6,177209.6,218539.7,236216.3,592653.0,413455.4,72077.1,529675.6,378746.6,335285.1,116709.4,52958.8,600683.3,55568.5,135149.4,88527.7,631552.3,100656.4,176296.3,1773369.8,692683.7,192516.2,251577.7,777000.8,62124.9,249430.2,56254.4,391563.2,1802143.7,205647.9,565466.8,34414.9,620132.9,343272.2,77430.9,36709.6
2021-01-01,58943.5,260018.4,154052.5,436778.6,3423958.3,445835.7,296801.3,156537.5,83069.8,1298631.2,705546.7,93400.4,223870.9,99839.1,946776.2,425863.8,191738.1,238428.9,267263.6,649511.4,447753.6,79193.9,575116.4,416538.7,366441.5,129944.7,60399.7,662147.1,63838.5,150836.1,99092.6,695443.2,112978.5,201705.7,1923413.3,763595.8,217786.5,275653.1,844431.8,67228.3,272384.7,62984.8,441952.5,2088972.3,232561.9,615984.7,37438.8,687702.3,368880.4,86550.5,42319.1
2022-01-01,66271.9,284949.1,168605.8,484052.2,3660415.7,494672.8,321686.4,165768.4,92558.2,1465281.1,779684.0,103153.1,242752.9,112290.1,1040353.3,473492.9,212611.6,261540.7,298424.5,695612.1,484907.6,86493.3,627009.1,454992.8,400265.1,142762.3,68702.0,728498.7,73780.0,167480.2,106488.0,758288.7,128138.8,227320.6,2052758.8,832660.7,245976.2,298848.0,919741.1,72869.2,301945.1,69069.3,488670.1,2436925,261080.8,666681.8,41011.6,742909.5,400621.4,98290,49782.6
